P(a | i.) 0.04067660088602497
P(own | his) 0.03374568711604813
P(delicate | own) 0.028188668713368687
P(and | delicate) 0.03910181958962446
P(finely | and) 0.004636643253913602
P(temperament | adjusted) 0.04067660088602497
P(was | temperament) 0.042383550146873686
P(to | was) 0.01677376283067679
P(introduce | to) 0.004790589574538728
P(a | introduce) 0.042383550146873686
P(distracting | a) 0.004813420387933088
P(factor | distracting) 0.042383550146873686
P(which | factor) 0.04067660088602497
P(might | which) 0.01534254898982227
P(a | throw) 0.03910181958962446
P(doubt | a) 0.009579183148262877
P(upon | doubt) 0.037644427879239654
P(all | upon) 0.02252955610082534
P(his | all) 0.02473671320107764
P(mental | his) 0.008499537153917361
P(results. | mental) 0.042383550146873686
P(grit | results.) 0.042383550146873686
P(in | grit) 0.042383550146873686
P(sensitive | a) 0.004813420387933088
P(or | instrument,) 0.042383550146873686
P(a | or) 0.04692972215736633
P(crack | a) 0.004813420387933088
P(in | crack) 0.042383550146873686
P(one | in) 0.013505341664986896
P(of | one) 0.17477634737071787
P(his | of) 0.06935840228739766
P(high-power | own) 0.028188668713368687
P(lenses, | high-power) 0.042383550146873686
P(would | lenses,) 0.042383550146873686
P(not | would) 0.056098241696902036
P(more | be) 0.014673834083975011
P(disturbing | more) 0.037644427879239654
P(than | disturbing) 0.042383550146873686
P(a | than) 0.03276029841063899
P(strong | a) 0.004813420387933088
P(emotion | strong) 0.03910181958962446
P(in | emotion) 0.04067660088602497
P(nature | a) 0.004813420387933088
P(such | nature) 0.03910181958962446
P(as | such) 0.0673818303721086
P(his. | as) 0.013867911574900454
P(and | his.) 0.042383550146873686
P(there | yet) 0.03503295178633368
P(was | there) 0.17477634737071787
P(but | was) 0.00842860719352416
P(one | but) 0.018090632276553824
P(woman | one) 0.02203796639755619
P(to | woman) 0.04067660088602497
P(him, | to) 0.004790589574538728
P(and | him,) 0.04067660088602497
P(woman | that) 0.010324031483185118
P(was | woman) 0.04067660088602497
P(the | was) 0.058499541016439956
P(late | the) 0.0026521019877635693
P(irene | late) 0.042383550146873686
P(of | adler,) 0.037644427879239654
P(dubious | of) 0.004375514447862063
P(and | dubious) 0.042383550146873686
P(questionable | and) 0.004636643253913602
P(memory. | questionable) 0.042383550146873686
P(had | i) 0.052455064717287635
P(seen | had) 0.014673834083975011
P(little | seen) 0.037644427879239654
P(of | little) 0.056098241696902036
P(holmes | of) 0.008707706970497768
P(lately. | holmes) 0.02414535022710973
P(my | lately.) 0.042383550146873686
P(marriage | my) 0.01265188525616936
P(had | marriage) 0.04067660088602497
P(drifted | had) 0.014673834083975011
P(us | drifted) 0.042383550146873686
P(away | us) 0.03910181958962446
P(each | from) 0.01716811150773415
P(other. | each) 0.03910181958962446
P(my | other.) 0.042383550146873686
P(own | my) 0.037705123387197795
P(complete | own) 0.028188668713368687
P(happiness, | complete) 0.042383550146873686
P(and | happiness,) 0.042383550146873686
P(the | and) 0.045953266308589265
P(home-centred | the) 0.0026521019877635693
P(which | interests) 0.042383550146873686
P(rise | which) 0.01534254898982227
P(up | rise) 0.042383550146873686
P(around | up) 0.02026891430864941
P(the | around) 0.042383550146873686
P(man | the) 0.015781319748969357
P(who | man) 0.16773653363103544
P(first | who) 0.019870155420027544
P(finds | first) 0.042383550146873686
P(himself | finds) 0.042383550146873686
P(master | himself) 0.03629177146963708
P(establishment, | own) 0.028188668713368687
P(were | establishment,) 0.042383550146873686
P(sufficient | were) 0.02414535022710973
P(to | sufficient) 0.042383550146873686
P(absorb | to) 0.004790589574538728
P(all | absorb) 0.042383550146873686
P(my | all) 0.02473671320107764
P(attention, | my) 0.01265188525616936
P(holmes, | while) 0.03276029841063899
P(who | holmes,) 0.037644427879239654
P(loathed | who) 0.019870155420027544
P(every | loathed) 0.042383550146873686
P(form | every) 0.03503295178633368
P(of | form) 0.042383550146873686
P(society | of) 0.004375514447862063
P(with | society) 0.042383550146873686
P(his | with) 0.05023174245271201
P(whole | his) 0.01691492047462762
P(bohemian | whole) 0.037644427879239654
P(remained | soul,) 0.042383550146873686
P(in | remained) 0.042383550146873686
P(our | in) 0.006786266209769535
P(lodgings | our) 0.0317310713163682
P(in | lodgings) 0.042383550146873686
P(baker | in) 0.006786266209769535
P(street, | baker) 0.11218784942228847
P(buried | street,) 0.03503295178633368
P(among | buried) 0.042383550146873686
P(his | among) 0.04067660088602497
P(old | his) 0.008499537153917361
P(and | books,) 0.042383550146873686
P(alternating | and) 0.004636643253913602
P(from | alternating) 0.042383550146873686
P(week | from) 0.01716811150773415
P(to | week) 0.04067660088602497
P(week | to) 0.004790589574538728
P(between | week) 0.04067660088602497
P(cocaine | between) 0.03910181958962446
P(and | cocaine) 0.042383550146873686
P(ambition, | and) 0.004636643253913602
P(drowsiness | the) 0.0026521019877635693
P(of | drowsiness) 0.042383550146873686
P(drug, | the) 0.0026521019877635693
P(and | drug,) 0.042383550146873686
P(fierce | the) 0.0026521019877635693
P(energy | fierce) 0.04067660088602497
P(of | energy) 0.042383550146873686
P(keen | own) 0.028188668713368687
P(he | nature.) 0.042383550146873686
P(was | he) 0.08848080133555926
P(still, | was) 0.00842860719352416
P(as | still,) 0.04067660088602497
P(ever, | as) 0.013867911574900454
P(deeply | ever,) 0.042383550146873686
P(attracted | deeply) 0.04067660088602497
P(by | attracted) 0.042383550146873686
P(the | by) 0.17477634737071787
P(study | the) 0.005277945540004726
P(of | study) 0.03910181958962446
P(crime, | of) 0.004375514447862063
P(occupied | and) 0.004636643253913602
P(his | occupied) 0.042383550146873686
P(immense | his) 0.008499537153917361
P(faculties | immense) 0.04067660088602497
P(and | faculties) 0.042383550146873686
P(extraordinary | and) 0.004636643253913602
P(powers | extraordinary) 0.04067660088602497
P(of | powers) 0.04067660088602497
P(in | observation) 0.042383550146873686
P(following | in) 0.006786266209769535
P(out | following) 0.04067660088602497
P(those | out) 0.025357770524730105
P(clues, | those) 0.037644427879239654
P(and | clues,) 0.042383550146873686
P(clearing | and) 0.004636643253913602
P(up | clearing) 0.08095046314941601
P(those | up) 0.02026891430864941
P(which | mysteries) 0.042383550146873686
P(had | which) 0.06091447668236366
P(been | had) 0.10184512567194537
P(abandoned | been) 0.02252955610082534
P(as | abandoned) 0.042383550146873686
P(hopeless | as) 0.013867911574900454
P(by | hopeless) 0.042383550146873686
P(official | the) 0.0026521019877635693
P(police. | official) 0.042383550146873686
P(time | from) 0.01716811150773415
P(to | time) 0.037644427879239654
P(time | to) 0.004790589574538728
P(i | time) 0.037644427879239654
P(heard | i) 0.010532935073101712
P(some | heard) 0.037644427879239654
P(vague | some) 0.028997990238300318
P(account | vague) 0.042383550146873686
P(of | account) 0.1165311653116531
P(doings: | his) 0.008499537153917361
P(of | doings:) 0.042383550146873686
P(to | summons) 0.042383550146873686
P(odessa | to) 0.004790589574538728
P(in | odessa) 0.042383550146873686
P(the | in) 0.1882013035006383
P(case | the) 0.005277945540004726
P(of | case) 0.07222421846927775
P(trepoff | the) 0.0026521019877635693
P(murder, | trepoff) 0.042383550146873686
P(of | murder,) 0.042383550146873686
P(clearing | his) 0.008499537153917361
P(singular | the) 0.0026521019877635693
P(tragedy | singular) 0.04067660088602497
P(of | tragedy) 0.042383550146873686
P(atkinson | the) 0.0026521019877635693
P(brothers | atkinson) 0.042383550146873686
P(at | brothers) 0.042383550146873686
P(trincomalee, | at) 0.013867911574900454
P(and | trincomalee,) 0.042383550146873686
P(of | finally) 0.042383550146873686
P(mission | the) 0.0026521019877635693
P(which | mission) 0.042383550146873686
P(he | which) 0.09129576181072459
P(had | he) 0.05901993518609447
P(accomplished | had) 0.014673834083975011
P(so | accomplished) 0.042383550146873686
P(delicately | so) 0.030764544623819678
P(and | delicately) 0.042383550146873686
P(for | successfully) 0.042383550146873686
P(reigning | the) 0.005277945540004726
P(family | reigning) 0.04067660088602497
P(of | family) 0.042383550146873686
P(holland. | of) 0.004375514447862063
P(beyond | holland.) 0.042383550146873686
P(these | beyond) 0.042383550146873686
P(signs | these) 0.03910181958962446
P(of | signs) 0.042383550146873686
P(activity, | his) 0.008499537153917361
P(however, | activity,) 0.042383550146873686
P(which | however,) 0.03910181958962446
P(i | which) 0.09129576181072459
P(merely | i) 0.005292668867578473
P(shared | merely) 0.04067660088602497
P(with | shared) 0.042383550146873686
P(all | with) 0.01265188525616936
P(the | all) 0.049228508449669355
P(readers | the) 0.0026521019877635693
P(of | readers) 0.042383550146873686
P(daily | the) 0.0026521019877635693
P(press, | daily) 0.042383550146873686
P(i | press,) 0.042383550146873686
P(knew | i) 0.015773201278624954
P(little | knew) 0.03629177146963708
P(my | of) 0.021704284538404884
P(former | my) 0.01265188525616936
P(friend | former) 0.042383550146873686
P(and | friend) 0.07781649245063878
P(companion. | and) 0.004636643253913602
P(night—it | one) 0.02203796639755619
P(was | night—it) 0.042383550146873686
P(on | was) 0.00842860719352416
P(the | on) 0.24023565350207288
P(twentieth | the) 0.0026521019877635693
P(of | twentieth) 0.042383550146873686
P(march, | of) 0.004375514447862063
P(1888—i | march,) 0.042383550146873686
P(was | 1888—i) 0.042383550146873686
P(returning | was) 0.00842860719352416
P(from | returning) 0.042383550146873686
P(a | from) 0.01716811150773415
P(to | journey) 0.042383550146873686
P(a | to) 0.009533747569131527
P(patient | a) 0.004813420387933088
P((for | patient) 0.042383550146873686
P(i | (for) 0.042383550146873686
P(now | had) 0.014673834083975011
P(returned | now) 0.03503295178633368
P(to | returned) 0.03910181958962446
P(civil | to) 0.004790589574538728
P(practice), | civil) 0.042383550146873686
P(when | practice),) 0.042383550146873686
P(way | my) 0.025178504321683576
P(led | way) 0.04067660088602497
P(me | led) 0.042383550146873686
P(through | me) 0.02414535022710973
P(baker | through) 0.037644427879239654
P(street. | baker) 0.037644427879239654
P(as | street.) 0.03629177146963708
P(i | as) 0.15117396677193465
P(passed | i) 0.005292668867578473
P(the | passed) 0.042383550146873686
P(well-remembered | the) 0.0026521019877635693
P(which | door,) 0.04067660088602497
P(must | which) 0.01534254898982227
P(always | must) 0.0274232962259028
P(be | always) 0.03910181958962446
P(associated | be) 0.014673834083975011
P(in | associated) 0.04067660088602497
P(my | in) 0.06725794530672578
P(mind | my) 0.025178504321683576
P(with | mind) 0.03629177146963708
P(my | with) 0.01265188525616936
P(wooing, | my) 0.01265188525616936
P(and | wooing,) 0.042383550146873686
P(the | with) 0.10033821871476889
P(dark | the) 0.0026521019877635693
P(incidents | dark) 0.04067660088602497
P(of | incidents) 0.042383550146873686
P(in | study) 0.03910181958962446
P(scarlet, | in) 0.006786266209769535
P(i | scarlet,) 0.042383550146873686
P(was | i) 0.06293559712833412
P(seized | was) 0.01677376283067679
P(with | seized) 0.08095046314941601
P(desire | keen) 0.04067660088602497
P(to | desire) 0.04067660088602497
P(see | to) 0.014276905563724325
P(holmes | see) 0.06519623743107363
P(again, | holmes) 0.02414535022710973
P(and | again,) 0.03910181958962446
P(to | and) 0.02299958683376945
P(know | to) 0.004790589574538728
P(how | know) 0.08641975308641975
P(he | how) 0.028997990238300318
P(employing | was) 0.00842860719352416
P(his | employing) 0.042383550146873686
P(powers. | extraordinary) 0.04067660088602497
P(his | powers.) 0.042383550146873686
P(rooms | his) 0.008499537153917361
P(were | rooms) 0.04067660088602497
P(brilliantly | were) 0.02414535022710973
P(lit, | brilliantly) 0.042383550146873686
P(and, | lit,) 0.04067660088602497
P(even | and,) 0.042383550146873686
P(as | even) 0.07781649245063878
P(up, | looked) 0.03276029841063899
P(i | up,) 0.04067660088602497
P(saw | i) 0.026253733689671432
P(his | saw) 0.033858531679517266
P(tall, | his) 0.008499537153917361
P(spare | tall,) 0.042383550146873686
P(figure | spare) 0.042383550146873686
P(pass | figure) 0.03910181958962446
P(twice | pass) 0.042383550146873686
P(in | twice) 0.03629177146963708
P(dark | a) 0.004813420387933088
P(silhouette | dark) 0.04067660088602497
P(the | against) 0.11218784942228847
P(blind. | the) 0.0026521019877635693
P(he | blind.) 0.042383550146873686
P(pacing | was) 0.00842860719352416
P(the | pacing) 0.04067660088602497
P(room | the) 0.013155476196728199
P(swiftly, | room) 0.03629177146963708
P(eagerly, | swiftly,) 0.042383550146873686
P(with | eagerly,) 0.042383550146873686
P(sunk | head) 0.042383550146873686
P(upon | sunk) 0.042383550146873686
P(his | upon) 0.044836047289761316
P(chest | his) 0.008499537153917361
P(and | chest) 0.08095046314941601
P(his | and) 0.013818115043841527
P(hands | his) 0.01691492047462762
P(clasped | hands) 0.037644427879239654
P(behind | clasped) 0.042383550146873686
P(him. | behind) 0.03910181958962446
P(to | him.) 0.033858531679517266
P(me, | to) 0.004790589574538728
P(who | me,) 0.037644427879239654
P(his | knew) 0.03629177146963708
P(every | his) 0.008499537153917361
P(mood | every) 0.03503295178633368
P(and | mood) 0.042383550146873686
P(habit, | and) 0.004636643253913602
P(his | habit,) 0.042383550146873686
P(attitude | his) 0.008499537153917361
P(and | attitude) 0.042383550146873686
P(manner | and) 0.004636643253913602
P(told | manner) 0.04067660088602497
P(their | told) 0.03910181958962446
P(own | their) 0.06314797360980207
P(he | story.) 0.042383550146873686
P(at | was) 0.01677376283067679
P(work | at) 0.013867911574900454
P(again. | work) 0.03910181958962446
P(he | again.) 0.042383550146873686
P(risen | had) 0.014673834083975011
P(out | risen) 0.042383550146873686
P(of | out) 0.12578458448405724
P(drug-created | his) 0.008499537153917361
P(and | dreams) 0.042383550146873686
P(was | and) 0.009227379148877564
P(hot | was) 0.00842860719352416
P(upon | hot) 0.08095046314941601
P(the | upon) 0.1786749944233772
P(scent | the) 0.0026521019877635693
P(of | scent) 0.042383550146873686
P(some | of) 0.008707706970497768
P(new | some) 0.028997990238300318
P(problem. | new) 0.03910181958962446
P(i | problem.) 0.042383550146873686
P(rang | i) 0.005292668867578473
P(the | rang) 0.042383550146873686
P(bell | the) 0.0026521019877635693
P(shown | was) 0.00842860719352416
P(up | shown) 0.04067660088602497
P(to | up) 0.12061007425245836
P(the | to) 0.08542427548261633
P(chamber | the) 0.0026521019877635693
P(which | chamber) 0.04067660088602497
P(formerly | had) 0.014673834083975011
P(been | formerly) 0.042383550146873686
P(in | been) 0.02252955610082534
P(part | in) 0.006786266209769535
P(my | part) 0.033858531679517266
P(own. | my) 0.01265188525616936
P(manner | his) 0.008499537153917361
P(was | manner) 0.04067660088602497
P(effusive. | not) 0.015823280589064705
P(it | effusive.) 0.042383550146873686
P(seldom | it) 0.009113056031760354
P(was; | seldom) 0.03910181958962446
P(but | was;) 0.042383550146873686
P(he | but) 0.018090632276553824
P(glad, | was) 0.00842860719352416
P(i | glad,) 0.042383550146873686
P(think, | i) 0.010532935073101712
P(me. | see) 0.03276029841063899
P(with | me.) 0.037644427879239654
P(hardly | with) 0.01265188525616936
P(a | hardly) 0.03910181958962446
P(word | a) 0.004813420387933088
P(spoken, | word) 0.04067660088602497
P(but | spoken,) 0.042383550146873686
P(with | but) 0.018090632276553824
P(kindly | a) 0.004813420387933088
P(eye, | kindly) 0.042383550146873686
P(he | eye,) 0.042383550146873686
P(waved | he) 0.009918491603653148
P(to | me) 0.0719579249342577
P(an | to) 0.009533747569131527
P(armchair, | an) 0.023581601681064674
P(threw | armchair,) 0.04067660088602497
P(across | threw) 0.03910181958962446
P(his | across) 0.037644427879239654
P(case | his) 0.008499537153917361
P(cigars, | of) 0.004375514447862063
P(and | cigars,) 0.042383550146873686
P(indicated | and) 0.004636643253913602
P(a | indicated) 0.042383550146873686
P(case | spirit) 0.042383550146873686
P(and | case) 0.07222421846927775
P(gasogene | a) 0.004813420387933088
P(in | gasogene) 0.042383550146873686
P(corner. | the) 0.0026521019877635693
P(then | corner.) 0.042383550146873686
P(he | then) 0.06314797360980207
P(stood | he) 0.009918491603653148
P(before | stood) 0.04067660088602497
P(the | before) 0.0594147206621342
P(fire | the) 0.005277945540004726
P(looked | and) 0.013818115043841527
P(me | looked) 0.03276029841063899
P(over | me) 0.02414535022710973
P(in | over) 0.033858531679517266
P(singular | his) 0.008499537153917361
P(introspective | singular) 0.04067660088602497
P(fashion. | introspective) 0.042383550146873686
P(suits | “wedlock) 0.042383550146873686
P(you,” | suits) 0.042383550146873686
P(he | you,”) 0.042383550146873686
P(remarked. | he) 0.01973878032014141
P(“i | remarked.) 0.03910181958962446
P(think, | “i) 0.018420572679190225
P(watson, | think,) 0.03910181958962446
P(that | watson,) 0.03910181958962446
P(you | that) 0.08187672493100276
P(have | you) 0.0755143811267909
P(put | have) 0.014890166592952971
P(seven | on) 0.02203796639755619
P(and | seven) 0.03910181958962446
P(half | a) 0.004813420387933088
P(pounds | half) 0.033858531679517266
P(since | pounds) 0.04067660088602497
P(i | since) 0.03910181958962446
P(you.” | saw) 0.033858531679517266
P(i | “seven!”) 0.042383550146873686
P(answered. | i) 0.010532935073101712
P(i | “indeed,) 0.042383550146873686
P(should | i) 0.04197453230624115
P(have | should) 0.028997990238300318
P(thought | have) 0.014890166592952971
P(a | thought) 0.04067660088602497
P(little | a) 0.01911070866892246
P(more. | little) 0.028188668713368687
P(just | more.) 0.03910181958962446
P(a | just) 0.029855158143659476
P(trifle | a) 0.004813420387933088
P(more, | trifle) 0.042383550146873686
P(i | more,) 0.04067660088602497
P(watson. | fancy,) 0.042383550146873686
P(and | watson.) 0.04067660088602497
P(in | and) 0.02299958683376945
P(practice | in) 0.006786266209769535
P(again, | practice) 0.042383550146873686
P(i | again,) 0.07781649245063878
P(observe. | i) 0.005292668867578473
P(you | observe.) 0.04067660088602497
P(did | you) 0.01088010341484434
P(not | did) 0.07222421846927775
P(tell | not) 0.03148989503368322
P(me | tell) 0.07222421846927775
P(intended | you) 0.01088010341484434
P(to | intended) 0.042383550146873686
P(go | to) 0.004790589574538728
P(into | go) 0.042383550146873686
P(harness.” | into) 0.02203796639755619
P(how | “then,) 0.03629177146963708
P(do | how) 0.05770887166236003
P(you | do) 0.13113680994981453
P(know?” | you) 0.01088010341484434
P(see | “i) 0.018420572679190225
P(it, | see) 0.03276029841063899
P(i | it,) 0.03503295178633368
P(deduce | i) 0.005292668867578473
P(it. | deduce) 0.07781649245063878
P(how | it.) 0.0317310713163682
P(i | do) 0.02203796639755619
P(know | i) 0.02101346748414819
P(that | know) 0.11513063451047947
P(been | have) 0.10334660179861418
P(getting | been) 0.02252955610082534
P(very | yourself) 0.03910181958962446
P(wet | very) 0.026010816379088336
P(lately, | wet) 0.042383550146873686
P(and | lately,) 0.042383550146873686
P(a | have) 0.014890166592952971
P(most | a) 0.004813420387933088
P(clumsy | most) 0.030764544623819678
P(and | clumsy) 0.042383550146873686
P(careless | and) 0.004636643253913602
P(girl?” | servant) 0.04067660088602497
P(dear | “my) 0.03503295178633368
P(holmes,” | dear) 0.042383550146873686
P(said | holmes,”) 0.042383550146873686
P(i, | said) 0.04292120435618193
P(“this | i,) 0.04067660088602497
P(is | “this) 0.1344284277572913
P(too | is) 0.01163192445007486
P(much. | too) 0.03503295178633368
P(you | much.) 0.042383550146873686
P(would | you) 0.01088010341484434
P(certainly | would) 0.028188668713368687
P(have | certainly) 0.042383550146873686
P(burned, | been) 0.02252955610082534
P(had | burned,) 0.042383550146873686
P(you | had) 0.014673834083975011
P(lived | you) 0.01088010341484434
P(a | lived) 0.042383550146873686
P(few | a) 0.014344945908592668
P(centuries | few) 0.037644427879239654
P(ago. | centuries) 0.042383550146873686
P(it | ago.) 0.042383550146873686
P(is | it) 0.12640981683659658
P(true | is) 0.01163192445007486
P(that | true) 0.042383550146873686
P(i | that) 0.14320760502913216
P(a | had) 0.04373093127996513
P(walk | country) 0.042383550146873686
P(on | walk) 0.03910181958962446
P(thursday | on) 0.02203796639755619
P(and | thursday) 0.042383550146873686
P(came | and) 0.004636643253913602
P(home | came) 0.03503295178633368
P(in | home) 0.04067660088602497
P(dreadful | a) 0.004813420387933088
P(mess, | dreadful) 0.042383550146873686
P(but | mess,) 0.042383550146873686
P(changed | have) 0.014890166592952971
P(my | changed) 0.04067660088602497
P(clothes | my) 0.01265188525616936
P(i | clothes) 0.042383550146873686
P(can’t | i) 0.005292668867578473
P(imagine | can’t) 0.03910181958962446
P(how | imagine) 0.04067660088602497
P(you | how) 0.05770887166236003
P(deduce | you) 0.021652483033502097
P(as | it.) 0.0317310713163682
P(to | as) 0.04132912261430729
P(mary | to) 0.004790589574538728
P(she | jane,) 0.042383550146873686
P(incorrigible, | is) 0.01163192445007486
P(and | incorrigible,) 0.042383550146873686
P(my | and) 0.004636643253913602
P(wife | my) 0.01265188525616936
P(has | wife) 0.042383550146873686
P(given | has) 0.02473671320107764
P(her | given) 0.042383550146873686
P(notice, | her) 0.02111645410830023
P(but | notice,) 0.042383550146873686
P(there, | but) 0.018090632276553824
P(fail | i) 0.010532935073101712
P(to | fail) 0.08095046314941601
P(how | see) 0.03276029841063899
P(work | you) 0.01088010341484434
P(it | work) 0.03910181958962446
P(out.” | it) 0.009113056031760354
P(chuckled | he) 0.009918491603653148
P(to | chuckled) 0.042383550146873686
P(himself | to) 0.004790589574538728
P(and | himself) 0.03629177146963708
P(rubbed | and) 0.004636643253913602
P(his | rubbed) 0.042383550146873686
P(long, | his) 0.008499537153917361
P(nervous | long,) 0.04067660088602497
P(hands | nervous) 0.042383550146873686
P(together. | hands) 0.037644427879239654
P(is | “it) 0.21352421565641183
P(simplicity | is) 0.01163192445007486
P(itself,” | simplicity) 0.042383550146873686
P(said | itself,”) 0.042383550146873686
P(he; | said) 0.0215673713431561
P(“my | he;) 0.042383550146873686
P(eyes | “my) 0.03503295178633368
P(tell | eyes) 0.033858531679517266
P(that | me) 0.04805163758068372
P(on | that) 0.010324031483185118
P(inside | the) 0.0026521019877635693
P(your | of) 0.008707706970497768
P(left | your) 0.02203796639755619
P(shoe, | left) 0.03629177146963708
P(just | shoe,) 0.042383550146873686
P(where | just) 0.029855158143659476
P(the | where) 0.033858531679517266
P(firelight | the) 0.0026521019877635693
P(strikes | firelight) 0.042383550146873686
P(it, | strikes) 0.042383550146873686
P(leather | the) 0.0026521019877635693
P(is | leather) 0.04067660088602497
P(by | scored) 0.042383550146873686
P(six | by) 0.02203796639755619
P(almost | six) 0.037644427879239654
P(parallel | almost) 0.03910181958962446
P(cuts. | parallel) 0.042383550146873686
P(obviously | cuts.) 0.042383550146873686
P(they | obviously) 0.042383550146873686
P(have | they) 0.028997990238300318
P(caused | been) 0.02252955610082534
P(by | caused) 0.042383550146873686
P(who | someone) 0.042383550146873686
P(has | who) 0.0395435766279756
P(very | has) 0.02473671320107764
P(carelessly | very) 0.026010816379088336
P(scraped | carelessly) 0.042383550146873686
P(round | scraped) 0.042383550146873686
P(the | round) 0.07491613865076406
P(edges | the) 0.0026521019877635693
P(of | edges) 0.042383550146873686
P(sole | the) 0.0026521019877635693
P(in | sole) 0.042383550146873686
P(to | order) 0.042383550146873686
P(remove | to) 0.004790589574538728
P(crusted | remove) 0.042383550146873686
P(mud | crusted) 0.042383550146873686
P(from | mud) 0.042383550146873686
P(it. | from) 0.01716811150773415
P(hence, | it.) 0.0317310713163682
P(you | hence,) 0.042383550146873686
P(see, | you) 0.01088010341484434
P(my | see,) 0.04067660088602497
P(double | my) 0.01265188525616936
P(that | deduction) 0.042383550146873686
P(had | you) 0.021652483033502097
P(out | been) 0.02252955610082534
P(in | out) 0.10067788099422546
P(vile | in) 0.006786266209769535
P(weather, | vile) 0.042383550146873686
P(and | weather,) 0.042383550146873686
P(malignant | particularly) 0.042383550146873686
P(boot-slitting | malignant) 0.042383550146873686
