P(. | i) 0.008098223615464995
P(than | disturbing) 0.006257110352673493
P(a | than) 0.006017505470459519
P(strong | a) 0.0030153508771929827
P(emotion | strong) 0.006186726659167604
P(in | emotion) 0.006221719457013575
P(nature | a) 0.0030153508771929827
P(such | nature) 0.006152125279642058
P(as | such) 0.011487964989059081
P(his | as) 0.004893238434163701
P(. | his) 0.004047093451066961
P(and | .) 0.015885498584460523
P(there | yet) 0.005984766050054407
P(was | there) 0.03955078124999999
P(but | was) 0.003973988439306358
P(one | but) 0.005050505050505051
P(woman | one) 0.0055055055055055055
P(to | woman) 0.00605060506050605
P(him | to) 0.0083829096809086
P(, | him) 0.010780287474332649
P(woman | that) 0.004266873545384018
P(was | woman) 0.00605060506050605
P(the | was) 0.029263005780346817
P(late | the) 0.0020265291083271927
P(irene | late) 0.006257110352673493
P(, | adler) 0.022306855277475515
P(of | ,) 0.010843005497861942
P(dubious | of) 0.0028735632183908046
P(and | dubious) 0.006257110352673493
P(questionable | and) 0.00286607608129234
P(memory | questionable) 0.006257110352673493
P(. | memory) 0.006221719457013575
P(had | i) 0.026384535005224658
P(seen | had) 0.004981884057971015
P(little | seen) 0.006084070796460177
P(of | little) 0.011182108626198083
P(holmes | of) 0.0054858934169279
P(lately | holmes) 0.005293551491819057
P(. | lately) 0.006221719457013575
P(my | .) 0.0033029254482541686
P(marriage | my) 0.00462573591253154
P(had | marriage) 0.006186726659167604
P(drifted | had) 0.004981884057971015
P(us | drifted) 0.006257110352673493
P(away | us) 0.006117908787541713
P(each | from) 0.005218216318785579
P(other | each) 0.011811023622047244
P(. | other) 0.005888650963597431
P(own | my) 0.02565180824222035
P(complete | own) 0.005765199161425576
P(happiness | complete) 0.006257110352673493
P(, | happiness) 0.006257110352673493
P(the | and) 0.02631578947368421
P(home | the) 0.0020265291083271927
P(centred | home) 0.006152125279642058
P(which | interests) 0.006257110352673493
P(rise | which) 0.005027422303473492
P(up | rise) 0.006257110352673493
P(around | up) 0.005397448478900883
P(the | around) 0.006257110352673493
P(man | the) 0.013080324244657333
P(who | man) 0.031154239019407556
P(first | who) 0.005424063116370809
P(finds | first) 0.006221719457013575
P(himself | finds) 0.006257110352673493
P(master | himself) 0.006117908787541713
P(establishment | own) 0.005765199161425576
P(, | establishment) 0.006257110352673493
P(were | ,) 0.0016799022602321321
P(sufficient | were) 0.005675954592363261
P(to | sufficient) 0.006257110352673493
P(absorb | to) 0.0029745808545159546
P(all | absorb) 0.006257110352673493
P(my | all) 0.0056179775280898875
P(attention | my) 0.008830950378469302
P(, | attention) 0.006186726659167604
P(holmes | while) 0.006017505470459519
P(, | holmes) 0.02454282964388835
P(who | ,) 0.015424557116676849
P(loathed | who) 0.005424063116370809
P(every | loathed) 0.006257110352673493
P(form | every) 0.006084070796460177
P(of | form) 0.006257110352673493
P(society | of) 0.0028735632183908046
P(with | society) 0.006257110352673493
P(his | with) 0.017687661777394302
P(whole | his) 0.00772626931567329
P(bohemian | whole) 0.006152125279642058
P(, | soul) 0.006117908787541713
P(remained | ,) 0.0016799022602321321
P(in | remained) 0.006257110352673493
P(our | in) 0.0036208031599736673
P(lodgings | our) 0.005984766050054407
P(in | lodgings) 0.006257110352673493
P(baker | in) 0.0036208031599736673
P(street | baker) 0.02293064876957494
P(, | street) 0.032139093782929395
P(buried | ,) 0.0016799022602321321
P(among | buried) 0.006257110352673493
P(his | among) 0.006221719457013575
P(old | his) 0.004047093451066961
P(, | books) 0.006257110352673493
P(alternating | and) 0.00286607608129234
P(from | alternating) 0.006257110352673493
P(week | from) 0.005218216318785579
P(to | week) 0.006221719457013575
P(week | to) 0.0029745808545159546
P(between | week) 0.006221719457013575
P(cocaine | between) 0.006186726659167604
P(and | cocaine) 0.006257110352673493
P(ambition | and) 0.00286607608129234
P(, | ambition) 0.006257110352673493
P(drowsiness | the) 0.0020265291083271927
P(of | drowsiness) 0.006257110352673493
P(drug | the) 0.0020265291083271927
P(, | drug) 0.006221719457013575
P(fierce | the) 0.0020265291083271927
P(energy | fierce) 0.006221719457013575
P(of | energy) 0.006257110352673493
P(keen | own) 0.005765199161425576
P(. | nature) 0.006152125279642058
P(was | he) 0.0374351371386212
P(still | was) 0.011199421965317919
P(, | still) 0.011425462459194777
P(as | ,) 0.018478924862553453
P(ever | as) 0.004893238434163701
P(, | ever) 0.006186726659167604
P(deeply | ,) 0.0016799022602321321
P(attracted | deeply) 0.006221719457013575
P(by | attracted) 0.006257110352673493
P(the | by) 0.040744466800804825
P(study | the) 0.0038688282977155496
P(of | study) 0.006186726659167604
P(crime | of) 0.0028735632183908046
P(, | crime) 0.006221719457013575
P(occupied | and) 0.00286607608129234
P(his | occupied) 0.006257110352673493
P(immense | his) 0.004047093451066961
P(faculties | immense) 0.006221719457013575
P(and | faculties) 0.006257110352673493
P(extraordinary | and) 0.00286607608129234
P(powers | extraordinary) 0.011877828054298642
P(of | powers) 0.006186726659167604
P(in | observation) 0.006257110352673493
P(following | in) 0.0036208031599736673
P(out | following) 0.006221719457013575
P(those | out) 0.005589430894308943
P(clues | those) 0.006152125279642058
P(, | clues) 0.006257110352673493
P(clearing | and) 0.00286607608129234
P(up | clearing) 0.011877828054298642
P(those | up) 0.005397448478900883
P(which | mysteries) 0.006221719457013575
P(had | which) 0.018738574040219377
P(been | had) 0.03215579710144927
P(abandoned | been) 0.005589430894308943
P(as | abandoned) 0.006257110352673493
P(hopeless | as) 0.004893238434163701
P(by | hopeless) 0.006257110352673493
P(official | the) 0.0020265291083271927
P(police | official) 0.006257110352673493
P(. | police) 0.006257110352673493
P(time | from) 0.005218216318785579
P(to | time) 0.006084070796460177
P(time | to) 0.0029745808545159546
P(i | time) 0.006084070796460177
P(heard | i) 0.0054858934169279
P(some | heard) 0.006084070796460177
P(vague | some) 0.005857294994675187
P(account | vague) 0.006257110352673493
P(of | account) 0.017435320584926882
P(doings | his) 0.004047093451066961
P(of | doings) 0.006257110352673493
P(to | summons) 0.006257110352673493
P(odessa | to) 0.0029745808545159546
P(in | odessa) 0.006257110352673493
P(the | in) 0.09249506254114549
P(case | the) 0.0038688282977155496
P(of | case) 0.01155115511551155
P(trepoff | the) 0.0020265291083271927
P(murder | trepoff) 0.006257110352673493
P(, | murder) 0.006257110352673493
P(clearing | his) 0.004047093451066961
P(singular | the) 0.0020265291083271927
P(tragedy | singular) 0.006221719457013575
P(of | tragedy) 0.006257110352673493
P(atkinson | the) 0.0020265291083271927
P(brothers | atkinson) 0.006257110352673493
P(at | brothers) 0.006257110352673493
P(trincomalee | at) 0.004893238434163701
P(, | trincomalee) 0.006257110352673493
P(of | finally) 0.006257110352673493
P(mission | the) 0.0020265291083271927
P(which | mission) 0.006257110352673493
P(he | which) 0.027879341864716634
P(had | he) 0.022609340252038545
P(accomplished | had) 0.004981884057971015
P(so | accomplished) 0.006257110352673493
P(delicately | so) 0.005675954592363261
P(and | delicately) 0.006257110352673493
P(for | successfully) 0.006257110352673493
P(reigning | the) 0.0038688282977155496
P(family | reigning) 0.006221719457013575
P(of | family) 0.006221719457013575
P(holland | of) 0.0028735632183908046
P(. | holland) 0.006257110352673493
P(beyond | .) 0.001730103806228374
P(these | beyond) 0.006257110352673493
P(signs | these) 0.006152125279642058
P(of | signs) 0.006257110352673493
P(activity | his) 0.004047093451066961
P(, | activity) 0.006257110352673493
P(however | ,) 0.006261453879047038
P(, | however) 0.017241379310344827
P(which | ,) 0.00931582162492364
P(i | which) 0.027879341864716634
P(merely | i) 0.0028735632183908046
P(shared | merely) 0.006221719457013575
P(with | shared) 0.006257110352673493
P(all | with) 0.004745470232959448
P(the | all) 0.010725229826353423
P(readers | the) 0.0020265291083271927
P(of | readers) 0.006257110352673493
P(daily | the) 0.0020265291083271927
P(press | daily) 0.006257110352673493
P(, | press) 0.006257110352673493
P(knew | i) 0.008098223615464995
P(little | knew) 0.006117908787541713
P(my | of) 0.013322884012539183
P(former | my) 0.00462573591253154
P(friend | former) 0.006221719457013575
P(and | friend) 0.01155115511551155
P(companion | and) 0.00286607608129234
P(. | companion) 0.006221719457013575
P(night | one) 0.0055055055055055055
P(it | night) 0.006152125279642058
P(on | was) 0.003973988439306358
P(the | on) 0.05611729019211324
P(twentieth | the) 0.0020265291083271927
P(of | twentieth) 0.006257110352673493
P(march | of) 0.0028735632183908046
P(, | march) 0.006257110352673493
P(1888 | ,) 0.0016799022602321321
P(i | 1888) 0.006257110352673493
P(was | i) 0.052507836990595615
P(returning | was) 0.003973988439306358
P(from | returning) 0.006257110352673493
P(a | from) 0.005218216318785579
P(to | journey) 0.006257110352673493
P(a | to) 0.005678745267712277
P(patient | a) 0.0030153508771929827
P(( | patient) 0.006257110352673493
P(for | () 0.006257110352673493
P(i | for) 0.014705882352941176
P(now | had) 0.004981884057971015
P(returned | now) 0.005857294994675187
P(to | returned) 0.006152125279642058
P(civil | to) 0.0029745808545159546
P(practice | civil) 0.006257110352673493
P() | practice) 0.006186726659167604
P(, | )) 0.006257110352673493
P(when | ,) 0.0047342700061087355
P(way | my) 0.008830950378469302
P(led | way) 0.006117908787541713
P(me | led) 0.006257110352673493
P(through | me) 0.005293551491819057
P(baker | through) 0.006152125279642058
P(. | street) 0.032139093782929395
P(as | .) 0.008021390374331552
P(i | as) 0.04937722419928825
P(passed | i) 0.0028735632183908046
P(the | passed) 0.006257110352673493
P(well | the) 0.0038688282977155496
P(remembered | well) 0.005952380952380953
P(, | door) 0.011363636363636364
P(must | which) 0.005027422303473492
P(always | must) 0.005826271186440678
P(be | always) 0.006186726659167604
P(associated | be) 0.004959422903516682
P(in | associated) 0.006221719457013575
P(my | in) 0.033245556287030936
P(mind | my) 0.008830950378469302
P(with | mind) 0.006084070796460177
P(my | with) 0.004745470232959448
P(wooing | my) 0.00462573591253154
P(, | wooing) 0.006257110352673493
P(the | with) 0.03494391716997411
P(dark | the) 0.0038688282977155496
P(incidents | dark) 0.006117908787541713
P(of | incidents) 0.006257110352673493
P(in | study) 0.006186726659167604
P(scarlet | in) 0.0036208031599736673
P(, | scarlet) 0.006257110352673493
P(seized | was) 0.007586705202312138
P(with | seized) 0.011877828054298642
P(desire | keen) 0.006186726659167604
P(to | desire) 0.006221719457013575
P(see | to) 0.0083829096809086
P(holmes | see) 0.011241970021413276
P(again | holmes) 0.005293551491819057
P(, | again) 0.017241379310344827
P(to | and) 0.013288170922355392
P(know | to) 0.005678745267712277
P(how | know) 0.016332982086406742
P(he | how) 0.005765199161425576
P(employing | was) 0.003973988439306358
P(his | employing) 0.006257110352673493
P(. | powers) 0.006186726659167604
P(his | .) 0.006448568732305757
P(rooms | his) 0.004047093451066961
P(were | rooms) 0.006221719457013575
P(brilliantly | were) 0.005675954592363261
P(lit | brilliantly) 0.006257110352673493
P(, | lit) 0.011877828054298642
P(, | and) 0.00286607608129234
P(even | ,) 0.003207086133170434
P(as | even) 0.011811023622047244
P(up | looked) 0.006017505470459519
P(, | up) 0.010304219823356232
P(saw | i) 0.013322884012539183
P(his | saw) 0.00605060506050605
P(tall | his) 0.004047093451066961
P(, | tall) 0.006257110352673493
P(spare | ,) 0.0016799022602321321
P(figure | spare) 0.006257110352673493
P(pass | figure) 0.006186726659167604
P(twice | pass) 0.006257110352673493
P(in | twice) 0.006084070796460177
P(dark | a) 0.0030153508771929827
P(silhouette | dark) 0.006117908787541713
P(the | against) 0.01733780760626398
P(blind | the) 0.0020265291083271927
P(. | blind) 0.006257110352673493
P(pacing | was) 0.003973988439306358
P(the | pacing) 0.006221719457013575
P(room | the) 0.011238025055268976
P(swiftly | room) 0.005888650963597431
P(, | swiftly) 0.006221719457013575
P(eagerly | ,) 0.0016799022602321321
P(, | eagerly) 0.006257110352673493
P(with | ,) 0.01695174098961515
P(sunk | head) 0.006221719457013575
P(upon | sunk) 0.006257110352673493
P(his | upon) 0.010670731707317072
P(chest | his) 0.004047093451066961
P(and | chest) 0.011877828054298642
P(his | and) 0.008077123501823866
P(hands | his) 0.00772626931567329
P(clasped | hands) 0.006152125279642058
P(behind | clasped) 0.006257110352673493
P(him | behind) 0.006186726659167604
P(. | him) 0.0364476386036961
P(to | .) 0.0033029254482541686
P(me | to) 0.019199567333693886
P(, | me) 0.02454282964388835
P(his | knew) 0.006117908787541713
P(every | his) 0.004047093451066961
P(mood | every) 0.006084070796460177
P(and | mood) 0.006257110352673493
P(habit | and) 0.00286607608129234
P(, | habit) 0.006257110352673493
P(his | ,) 0.00931582162492364
P(attitude | his) 0.004047093451066961
P(and | attitude) 0.006257110352673493
P(manner | and) 0.00286607608129234
P(told | manner) 0.006186726659167604
P(their | told) 0.006186726659167604
P(own | their) 0.011425462459194777
P(. | story) 0.006257110352673493
P(at | was) 0.007586705202312138
P(work | at) 0.004893238434163701
P(again | work) 0.006117908787541713
P(. | again) 0.006117908787541713
P(risen | had) 0.004981884057971015
P(out | risen) 0.006257110352673493
P(of | out) 0.02591463414634146
P(drug | his) 0.004047093451066961
P(created | drug) 0.006221719457013575
P(and | dreams) 0.006257110352673493
P(was | and) 0.0054715997915581035
P(hot | was) 0.003973988439306358
P(upon | hot) 0.011877828054298642
P(the | upon) 0.04115853658536585
P(scent | the) 0.0020265291083271927
P(of | scent) 0.006257110352673493
P(some | of) 0.0054858934169279
P(new | some) 0.005857294994675187
P(problem | new) 0.006186726659167604
P(. | problem) 0.006221719457013575
P(rang | i) 0.0028735632183908046
P(the | rang) 0.006257110352673493
P(bell | the) 0.0057111274871039066
P(shown | was) 0.003973988439306358
P(up | shown) 0.006221719457013575
P(to | up) 0.02993130520117762
P(the | to) 0.048945375878853434
P(chamber | the) 0.0020265291083271927
P(which | chamber) 0.006221719457013575
P(formerly | had) 0.004981884057971015
P(been | formerly) 0.006257110352673493
P(in | been) 0.005589430894308943
P(part | in) 0.0036208031599736673
P(my | part) 0.005984766050054407
P(. | own) 0.016247379454926623
P(manner | his) 0.00772626931567329
P(was | manner) 0.006186726659167604
P(effusive | not) 0.004981884057971015
P(. | effusive) 0.006257110352673493
P(seldom | it) 0.0037187288708586883
P(was | seldom) 0.006186726659167604
P(; | was) 0.003973988439306358
P(but | ;) 0.022306855277475515
P(he | but) 0.009641873278236915
P(glad | was) 0.003973988439306358
P(, | glad) 0.006257110352673493
P(think | i) 0.010710553814002089
P(, | think) 0.016958424507658644
P(me | see) 0.005888650963597431
P(. | me) 0.03897978825794032
P(with | .) 0.0033029254482541686
P(hardly | with) 0.004745470232959448
P(a | hardly) 0.006186726659167604
P(word | a) 0.0030153508771929827
P(spoken | word) 0.006186726659167604
P(, | spoken) 0.006221719457013575
P(with | but) 0.005050505050505051
P(kindly | a) 0.0030153508771929827
P(eye | kindly) 0.006221719457013575
P(, | eye) 0.006257110352673493
P(he | ,) 0.027642028100183267
P(waved | he) 0.00407709414381023
P(to | me) 0.014918190567853705
P(an | to) 0.005678745267712277
P(armchair | an) 0.010780287474332649
P(, | armchair) 0.01174496644295302
P(threw | ,) 0.0016799022602321321
P(across | threw) 0.006186726659167604
P(his | across) 0.006152125279642058
P(case | his) 0.004047093451066961
P(cigars | of) 0.0028735632183908046
P(, | cigars) 0.006221719457013575
P(indicated | and) 0.00286607608129234
P(a | indicated) 0.006257110352673493
P(case | spirit) 0.006257110352673493
P(and | case) 0.01155115511551155
P(gasogene | a) 0.0030153508771929827
P(in | gasogene) 0.006257110352673493
P(corner | the) 0.007553426676492263
P(. | corner) 0.006117908787541713
P(then | .) 0.006448568732305757
P(he | then) 0.010304219823356232
P(stood | he) 0.00407709414381023
P(before | stood) 0.006221719457013575
P(the | before) 0.011241970021413276
P(fire | the) 0.0057111274871039066
P(looked | and) 0.008077123501823866
P(me | looked) 0.006017505470459519
P(over | me) 0.005293551491819057
P(in | over) 0.00605060506050605
P(singular | his) 0.004047093451066961
P(introspective | singular) 0.006221719457013575
P(fashion | introspective) 0.006257110352673493
P(. | fashion) 0.006257110352673493
P(suits | wedlock) 0.006257110352673493
P(you | suits) 0.006257110352673493
P(, | you) 0.018424855491329478
P(remarked | he) 0.011489992587101556
P(. | remarked) 0.017051705170517052
P(watson | ,) 0.007788637751985339
P(, | watson) 0.022676991150442475
P(that | ,) 0.006261453879047038
P(you | that) 0.031419705197827774
P(have | you) 0.03648843930635838
P(put | have) 0.005004549590536852
P(seven | on) 0.005561172901921133
P(and | seven) 0.006117908787541713
P(half | a) 0.0030153508771929827
P(pounds | half) 0.005920344456404736
P(since | pounds) 0.006221719457013575
P(i | since) 0.006186726659167604
P(you | saw) 0.00605060506050605
P(. | you) 0.032875722543352595
P(! | seven) 0.006117908787541713
P(i | !) 0.005561172901921133
P(answered | i) 0.0054858934169279
P(. | answered) 0.01174496644295302
P(, | indeed) 0.016866158868335146
P(should | i) 0.02115987460815047
P(have | should) 0.005888650963597431
P(thought | have) 0.005004549590536852
P(a | thought) 0.006186726659167604
P(little | a) 0.011239035087719297
P(more | little) 0.005857294994675187
P(. | more) 0.016866158868335146
P(just | .) 0.001730103806228374
P(a | just) 0.005920344456404736
P(trifle | a) 0.0030153508771929827
P(more | trifle) 0.006257110352673493
P(, | more) 0.011425462459194777
P(, | fancy) 0.006257110352673493
P(. | watson) 0.01161504424778761
P(in | and) 0.013288170922355392
P(practice | in) 0.0036208031599736673
P(again | practice) 0.006186726659167604
P(observe | i) 0.0028735632183908046
P(. | observe) 0.011877828054298642
P(you | .) 0.023749606794589494
P(did | you) 0.007586705202312138
P(not | did) 0.01167964404894327
P(tell | not) 0.009510869565217392
P(me | tell) 0.01161504424778761
P(intended | you) 0.003973988439306358
P(to | intended) 0.006257110352673493
P(go | to) 0.005678745267712277
P(into | go) 0.006152125279642058
P(harness | into) 0.005561172901921133
P(. | harness) 0.006221719457013575
P(, | then) 0.03483807654563297
P(how | ,) 0.003207086133170434
P(do | how) 0.0110062893081761
P(you | do) 0.030530530530530526
P(know | you) 0.007586705202312138
P(? | know) 0.005795574288724974
P(see | i) 0.0028735632183908046
P(it | see) 0.005888650963597431
P(deduce | i) 0.0028735632183908046
P(it | deduce) 0.011811023622047244
P(. | it) 0.0341446923597025
P(how | .) 0.001730103806228374
P(i | do) 0.0055055055055055055
P(know | i) 0.013322884012539183
P(that | know) 0.021601685985247625
P(been | have) 0.03230209281164695
P(getting | been) 0.005589430894308943
P(very | yourself) 0.006186726659167604
P(wet | very) 0.005735140771637122
P(lately | wet) 0.006257110352673493
P(, | lately) 0.006221719457013575
P(a | have) 0.005004549590536852
P(most | a) 0.0030153508771929827
P(clumsy | most) 0.005952380952380953
P(and | clumsy) 0.006257110352673493
P(careless | and) 0.00286607608129234
P(girl | servant) 0.006221719457013575
P(? | girl) 0.006221719457013575
P(dear | my) 0.00462573591253154
P(holmes | dear) 0.006221719457013575
P(said | ,) 0.029169211973121566
P(i | said) 0.015285996055226824
P(, | i) 0.0054858934169279
P(this | ,) 0.003207086133170434
P(is | this) 0.02031714568880079
P(too | is) 0.004530477759472817
P(much | too) 0.00605060506050605
P(. | much) 0.01155115511551155
P(would | you) 0.003973988439306358
P(certainly | would) 0.005795574288724974
P(have | certainly) 0.006221719457013575
P(burned | been) 0.005589430894308943
P(, | burned) 0.006257110352673493
P(had | ,) 0.003207086133170434
P(you | had) 0.004981884057971015
P(lived | you) 0.003973988439306358
P(a | lived) 0.006257110352673493
P(few | a) 0.00849780701754386
P(centuries | few) 0.006152125279642058
P(ago | centuries) 0.006257110352673493
P(. | ago) 0.006221719457013575
P(is | it) 0.07471264367816093
P(true | is) 0.004530477759472817
P(that | true) 0.006257110352673493
P(i | that) 0.05469356089992242
P(a | had) 0.014039855072463768
P(walk | country) 0.006221719457013575
P(on | walk) 0.006186726659167604
P(thursday | on) 0.005561172901921133
P(and | thursday) 0.006257110352673493
P(came | and) 0.00286607608129234
P(home | came) 0.006084070796460177
P(in | home) 0.006152125279642058
P(dreadful | a) 0.0030153508771929827
P(mess | dreadful) 0.006257110352673493
P(, | mess) 0.006257110352673493
P(changed | have) 0.005004549590536852
P(my | changed) 0.006221719457013575
P(clothes | my) 0.00462573591253154
P(i | clothes) 0.006221719457013575
P(can | i) 0.0054858934169279
P(t | can) 0.016958424507658644
P(imagine | t) 0.011302475780409042
P(how | imagine) 0.006186726659167604
P(you | how) 0.0110062893081761
P(deduce | you) 0.007586705202312138
P(to | as) 0.013790035587188611
P(mary | to) 0.0029745808545159546
P(, | jane) 0.006257110352673493
P(she | ,) 0.007788637751985339
P(incorrigible | is) 0.004530477759472817
P(, | incorrigible) 0.006257110352673493
P(my | and) 0.00286607608129234
P(wife | my) 0.00462573591253154
P(has | wife) 0.006257110352673493
P(given | has) 0.00570539419087137
P(her | given) 0.006257110352673493
P(notice | her) 0.005293551491819057
P(, | notice) 0.006257110352673493
P(there | but) 0.005050505050505051
P(, | there) 0.00537109375
P(fail | i) 0.0054858934169279
P(to | fail) 0.011877828054298642
P(how | see) 0.005888650963597431
P(work | you) 0.003973988439306358
P(it | work) 0.006117908787541713
P(out | it) 0.0037187288708586883
P(. | out) 0.010670731707317072
P(chuckled | he) 0.00407709414381023
P(to | chuckled) 0.006257110352673493
P(himself | to) 0.0029745808545159546
P(and | himself) 0.006117908787541713
P(rubbed | and) 0.00286607608129234
P(his | rubbed) 0.006257110352673493
P(long | his) 0.004047093451066961
P(, | long) 0.01167964404894327
P(nervous | ,) 0.0016799022602321321
P(hands | nervous) 0.006257110352673493
P(together | hands) 0.006152125279642058
P(. | together) 0.006257110352673493
P(simplicity | is) 0.004530477759472817
P(itself | simplicity) 0.006257110352673493
P(, | itself) 0.006221719457013575
P(he | said) 0.03994082840236686
P(; | he) 0.00407709414381023
